geoid,name,B19083001,"B19083001, Error"
05000US13219,"Oconee County, GA",0.4623,0.0253
05000US13221,"Oglethorpe County, GA",0.4158,0.0211
05000US13223,"Paulding County, GA",0.3762,0.0122
05000US13225,"Peach County, GA",0.4976,0.0346
05000US13227,"Pickens County, GA",0.4204,0.033
05000US13229,"Pierce County, GA",0.4682,0.0374
05000US13231,"Pike County, GA",0.4197,0.0288
05000US13233,"Polk County, GA",0.4768,0.0408
05000US13235,"Pulaski County, GA",0.446,0.0288
05000US13237,"Putnam County, GA",0.4855,0.0367
05000US13239,"Quitman County, GA",0.4874,0.0569
05000US13241,"Rabun County, GA",0.5086,0.051
05000US13243,"Randolph County, GA",0.45,0.0452
05000US13245,"Richmond County, GA",0.4738,0.0111
05000US13247,"Rockdale County, GA",0.4229,0.017
05000US13249,"Schley County, GA",0.444,0.0299
05000US13251,"Screven County, GA",0.4607,0.0263
05000US13253,"Seminole County, GA",0.6006,0.1449
05000US13255,"Spalding County, GA",0.4536,0.0241
05000US13257,"Stephens County, GA",0.4525,0.0313
05000US13259,"Stewart County, GA",0.488,0.0423
05000US13261,"Sumter County, GA",0.4751,0.0203
05000US13263,"Talbot County, GA",0.4411,0.024
05000US13265,"Taliaferro County, GA",0.4557,0.0599
05000US13267,"Tattnall County, GA",0.4543,0.0241
05000US13269,"Taylor County, GA",0.4839,0.0369
05000US13271,"Telfair County, GA",0.4803,0.0605
05000US13273,"Terrell County, GA",0.4709,0.0231
05000US13275,"Thomas County, GA",0.5001,0.0253
05000US13277,"Tift County, GA",0.4571,0.0206
05000US13279,"Toombs County, GA",0.5396,0.0747
05000US13281,"Towns County, GA",0.4437,0.0309
05000US13283,"Treutlen County, GA",0.5255,0.0659
05000US13285,"Troup County, GA",0.4715,0.0166
05000US13287,"Turner County, GA",0.4761,0.0388
